Año,Indice de explosividad volcánica,Tipo de volcán,Flag Tsunami,Flag Terremoto,Nombre y pais
1974,2,Estratovolcán,False,False,Merapi (Java)
1977,1,Estratovolcán,False,False,Nyiragongo (Africa-C)
1988,3,Estratovolcán,False,False,Lonquimay (Chile-C)
1991,1,Volcán complejo,False,False,Unzen (Kyushu-Japan)
1993,1,Estratovolcán,False,False,Guagua Pichincha (Ecuador)
2008,3,Estratovolcán,False,False,Tungurahua (Ecuador)
2011,3,Estratovolcán,False,False,Nabro (Africa-NE)
2013,,Estratovolcán,False,False,Ubinas (Peru)
2014,,Estratovolcán,False,False,Sinabung (Sumatra)
2015,,Estratovolcán,False,False,Sinabung (Sumatra)
416,,Caldera,True,False,Krakatau (Indonesia)
1311,3,Estratovolcán,False,False,Kelut (Java)
1410,3,Estratovolcán,False,False,Nasu (Honshu-Japan)
1672,2,Estratovolcán,False,False,Fayal (Azores)
1780,,Estratovolcán,True,False,Sakura-jima (Kyushu-Japan)
1800,2,Estratovolcán,False,False,Kieyo (Africa-E)
1803,2,Volcán complejo,False,False,Asama (Honshu-Japan)
1894,3,Escudo piroclástico,False,False,Ambrym (Vanuatu-SW Pacific)
1910,2,Estratovolcán,False,False,Usu (Hokkaido-Japan)
1911,2,Volcán complejo,False,False,Asama (Honshu-Japan)
1917,3,Estratovolcán,False,True,San Salvador (El Salvador)
1923,,Estratovolcán,False,False,Tangkubanparahu (Java)
1923,2,Volcán en escudo,False,False,Kirishima (Kyushu-Japan)
1929,4,Estratovolcán,False,False,Komaga-take (Hokkaido-Japan)
1929,3,Estratovolcán,False,False,Santa Maria (Guatemala)
1939,1,volcán submarino,True,False,Kick-'em-Jenny (W Indies)
1951,3,Estratovolcán,False,False,Kelut (Java)
1966,4,Estratovolcán,False,False,Awu (Sangihe Is-Indonesia)
1971,2,Estratovolcán,False,False,Villarrica (Chile-C)
1974,2,Domo de lava,False,False,Niigata-Yake-yama (Honshu-Japan)
1977,0,Volcán en escudo,False,False,Karthala (Indian O-W)
1978,2,Estratovolcán,False,False,Bulusan (Luzon-Philippines)
1982,5,Cono de toba,False,False,"Chichon, El (Mexico)"
1986,,Volcán complejo,False,False,Akita-Yake-yama (Honshu-Japan)
2001,2,Estratovolcán,False,False,Etna (Italy)
2018,1,Volcán en escudo,False,False,Kilauea (Hawaiian Is)
-1645,6,Caldera,False,False,Aniakchak (Alaska Peninsula)
1636,3,Estratovolcán,False,False,Hekla (Iceland-S)
1669,3,Estratovolcán,False,False,Etna (Italy)
1698,3,Volcán complejo,True,False,Vesuvius (Italy)
1706,2,Estratovolcán,True,False,Tenerife (Canary Is)
1707,4,Estratovolcán,False,True,Fuji (Honshu-Japan)
1826,2,Volcán complejo,False,False,Dieng Volc Complex (Java)
1832,2,Estratovolcán,False,False,Etna (Italy)
1835,5,Estratovolcán,False,False,Cosiguina (Nicaragua)
1860,,Caldera,False,False,Grimsvotn (Iceland-NE)
1871,2,Estratovolcán,False,False,Gamalama (Halmahera-Indonesia)
1872,4,Estratovolcán,False,False,Sinarka (Kuril Is)
1899,4,Estratovolcán,False,False,Dona Juana (Colombia)
1905,2,Volcán complejo,False,False,Vesuvius (Italy)
1924,2,Volcán en escudo,False,False,Kilauea (Hawaiian Is)
1931,3,Volcán complejo,False,False,Asama (Honshu-Japan)
1947,2,Estratovolcán,False,False,Mayon (Luzon-Philippines)
1957,2,Estratovolcán,False,True,Vsevidof (Aleutian Is)
1963,2,Caldera,False,False,Batur (Lesser Sunda Is)
1967,3,Estratovolcán,False,False,"Lengai, Ol Doinyo (Africa-E)"
1969,3,Estratovolcán,False,False,Iya (Lesser Sunda Is)
1988,3,Estratovolcán,False,False,Semeru (Java)
1990,2,Caldera,False,False,Aso (Kyushu-Japan)
1994,,Estratovolcán,False,True,Huila (Colombia)
1999,4,Estratovolcán,False,False,Shiveluch (Kamchatka)
1999,3,Estratovolcán,False,False,Tungurahua (Ecuador)
2019,2,Estratovolcán,False,False,White Island (New Zealand)
920,4,Volcán subglacial,False,False,Katla (Iceland-S)
1104,5,Estratovolcán,False,False,Hekla (Iceland-S)
1151,1,Filas de cráteres,False,False,Krisuvik (Iceland-SW)
1206,2,Estratovolcán,False,False,Hekla (Iceland-S)
1329,3,Estratovolcán,True,True,Etna (Italy)
1485,2,Caldera,False,False,Aso (Kyushu-Japan)
1550,3,Volcán complejo,False,False,Dukono (Halmahera-Indonesia)
1576,3,Estratovolcán,False,False,Colima (Mexico)
1580,4,Volcán subglacial,False,False,Katla (Iceland-S)
1598,2,Volcán complejo,False,False,Asama (Honshu-Japan)
1730,2,Respiradero de fisura,False,False,Lanzarote (Canary Is)
1772,3,Estratovolcán,False,False,Papandayan (Java)
1781,4,Estratovolcán,True,False,Sakura-jima (Kyushu-Japan)
1826,2,Caldera,False,False,Aso (Kyushu-Japan)
1840,0,Volcán en escudo,True,False,Kilauea (Hawaiian Is)
1840,3,Estratovolcán,False,False,Savo (Solomon Is-SW Pacifi)
1850,2,Escudo piroclástico,False,False,Rabaul (New Britain-SW Pac)
1858,,Estratovolcán,False,False,Tate-yama (Honshu-Japan)
1883,2,Volcán en escudo,False,False,Karthala (Indian O-W)
1887,3,Estratovolcán,False,False,Mayon (Luzon-Philippines)
