Año,Indice de explosividad volcánica,Tipo de volcán,Flag Tsunami,Flag Terremoto,Nombre y pais
1984,,Maar,False,False,Oku Volc Field (Africa-W)
1986,2,Estratovolcán,False,False,Stromboli (Italy)
1987,,Volcán complejo,False,True,Sirung (Lesser Sunda Is)
1993,,Volcán en escudo,False,False,Kilauea (Hawaiian Is)
1996,3,Estratovolcán,False,False,Popocatepetl (Mexico)
2006,3,Estratovolcán,False,False,Tungurahua (Ecuador)
2010,,Estratovolcán,False,False,Sinabung (Sumatra)
2016,,Caldera,False,False,Yellowstone (US-Wyoming)
50,6,Escudo piroclástico,False,False,Ambrym (Vanuatu-SW Pacific)
590,,Estratovolcán,False,False,San Salvador (El Salvador)
1302,,Volcán complejo,False,False,Ischia (Italy)
1568,3,Estratovolcán,False,False,Savo (Solomon Is-SW Pacifi)
1570,,Estratovolcán,False,False,Mombacho (Nicaragua)
1663,5,Estratovolcán,False,False,Usu (Hokkaido-Japan)
1693,,Estratovolcán,False,True,Etna (Italy)
1755,4,Volcán subglacial,False,False,Katla (Iceland-S)
1843,2,Estratovolcán,False,False,Lamongan (Java)
1872,3,Volcán complejo,False,False,Vesuvius (Italy)
1878,2,Volcán en escudo,True,True,Okmok (Aleutian Is)
1913,3,Escudo piroclástico,False,False,Ambrym (Vanuatu-SW Pacific)
1949,2,Estratovolcán,False,False,Purace (Colombia)
1957,2,Caldera,False,False,Aso (Kyushu-Japan)
1963,3,Estratovolcán,False,False,Irazu (Costa Rica)
1971,3,Estratovolcán,False,False,Fuego (Guatemala)
1992,3,Cono de ceniza,False,False,"Negro, Cerro (Nicaragua)"
1997,,Estratovolcán,False,False,Hakkoda Group (Honshu-Japan)
1997,,Estratovolcán,False,False,Adatara (Honshu-Japan)
1997,,Caldera,False,False,Aso (Kyushu-Japan)
2004,1,Estratovolcán,False,False,Egon (Lesser Sunda Is)
2013,,Estratovolcán,False,False,Paluweh (Lesser Sunda Is)
2013,,Estratovolcán,False,False,Sakura-jima (Kyushu-Japan)
2015,,Estratovolcán,False,False,Karangetang [Api Siau] (Sangihe Is-Indonesia)
-1460,6,Caldera,False,False,Taupo (New Zealand)
1000,7,Estratovolcán,False,False,Changbaishan (China-E)
1727,4,Estratovolcán,False,False,Oraefajokull (Iceland-SE)
1826,3,Estratovolcán,False,False,Kelut (Java)
1868,2,Volcán en escudo,True,True,Mauna Loa (Hawaiian Is)
1869,2,Estratovolcán,False,False,Lewotobi (Lesser Sunda Is)
1895,2,Caldera,False,False,Dakataua (New Britain-SW Pac)
1900,2,Estratovolcán,False,False,Adatara (Honshu-Japan)
1900,,Cono de piedra pómez,False,False,Tullu Moje (Africa-NE)
1902,2,Estratovolcán,False,False,Merapi (Java)
1907,2,Estratovolcán,False,False,Lewotobi (Lesser Sunda Is)
1913,2,Estratovolcán,True,True,Awu (Sangihe Is-Indonesia)
1930,3,Volcán complejo,False,False,Asama (Honshu-Japan)
1932,,Estratovolcán,False,False,Merapi (Java)
1938,1,Volcán en escudo,True,False,Nyamuragira (Africa-C)
1938,2,Estratovolcán,False,False,Mayon (Luzon-Philippines)
1954,,Estratovolcán,False,False,Camiguin (Mindanao-Philippines)
1958,2,Estratovolcán,False,False,Mahawu (Sulawesi-Indonesia)
1961,,Estratovolcán,False,False,Tate-yama (Honshu-Japan)
1964,2,Estratovolcán,False,False,Paluweh (Lesser Sunda Is)
1992,4,Estratovolcán,False,False,Spurr (Alaska-SW)
1995,,Estratovolcán,False,False,Parker (Mindanao-Philippines)
1998,,Estratovolcán,False,False,Kelut (Java)
2000,3,Estratovolcán,False,False,Arenal (Costa Rica)
2010,1,Volcán complejo,False,False,Pacaya (Guatemala)
2010,,Estratovolcán,False,False,Merapi (Java)
2011,,Estratovolcán,False,False,Lokon-Empung (Sulawesi-Indonesia)
2013,,Estratovolcán,False,False,Merapi (Java)
2016,,Estratovolcán,False,False,Rinjani (Lesser Sunda Is)
2018,,Volcán en escudo,False,False,Kilauea (Hawaiian Is)
-4050,6,Caldera,False,False,Masaya (Nicaragua)
-2420,5,Volcán complejo,False,False,Vesuvius (Italy)
79,5,Volcán complejo,True,True,Vesuvius (Italy)
1375,5,Cono de toba,False,False,"Chichon, El (Mexico)"
1376,3,Estratovolcán,False,False,Kelut (Java)
1538,3,Caldera,False,False,Campi Flegrei (Italy)
1664,2,Volcán complejo,False,False,Unzen (Kyushu-Japan)
1698,3,Estratovolcán,False,False,Cotopaxi (Ecuador)
1775,3,Estratovolcán,False,False,Gamalama (Halmahera-Indonesia)
1800,2,Estratovolcán,False,False,Mayon (Luzon-Philippines)
1822,4,Estratovolcán,False,False,Usu (Hokkaido-Japan)
1822,5,Estratovolcán,False,False,Galunggung (Java)
1840,2,Estratovolcán,True,False,Gamalama (Halmahera-Indonesia)
1874,3,Estratovolcán,False,False,Miyake-jima (Izu Is-Japan)
1911,,Volcán de lodo,True,False,Piparo (Trinidad)
1911,3,Estratovolcán,False,False,Semeru (Java)
1916,3,Estratovolcán,True,False,Stromboli (Italy)
1928,2,Volcán complejo,False,False,Dieng Volc Complex (Java)
1933,2,Estratovolcán,True,False,Bulusan (Luzon-Philippines)
1944,2,Estratovolcán,False,False,Usu (Hokkaido-Japan)
1953,,Estratovolcán,False,False,Ruapehu (New Zealand)
1966,4,Estratovolcán,False,False,Kelut (Java)
1966,4,Estratovolcán,False,False,"Lengai, Ol Doinyo (Africa-E)"
1969,,Caldera,False,False,Narugo (Honshu-Japan)
1971,3,Estratovolcán,False,False,"Hudson, Cerro (Chile-S)"
1973,2,Volcán complejo,False,False,Iliwerung (Lesser Sunda Is)
1979,2,Estratovolcán,False,False,Karkar (New Guinea-NE of)
1981,2,Estratovolcán,False,False,Etna (Italy)
1982,5,Cono de toba,False,True,"Chichon, El (Mexico)"
1993,2,Volcán complejo,False,False,Galeras (Colombia)
2002,3,Estratovolcán,False,True,Etna (Italy)
2008,,Estratovolcán,False,False,Huila (Colombia)
2011,4,Estratovolcán,False,False,Puyehue (Chile-C)
2013,,Domo de lava,False,False,Okataina (New Zealand)
2014,3,Volcán complejo,False,False,On-take (Honshu-Japan)
2014,,Estratovolcán,False,False,Gamalama (Halmahera-Indonesia)
2018,,Estratovolcán,False,False,Mayon (Luzon-Philippines)
2018,4,Estratovolcán,False,False,Manam (New Guinea-NE of)
-4360,6,Caldera,False,False,Macauley Island (Kermadec Is)
-4000,6,Caldera,False,False,Pago (New Britain-SW Pac)
-50,6,Escudo piroclástico,False,False,Apoyeque (Nicaragua)
46,3,Volcán en escudo,True,False,Santorini (Greece)
500,,Campo volcánico,False,False,"Arhab, Harra of (Arabia-S)"
787,3,Volcán complejo,False,False,Vesuvius (Italy)
1536,3,Estratovolcán,False,False,Etna (Italy)
1690,,Volcán complejo,True,False,Vesuvius (Italy)
1726,1,Estratovolcán,False,False,Bardarbunga (Iceland-NE)
1730,3,Estratovolcán,False,False,Raung (Java)
1742,3,Estratovolcán,False,False,Cotopaxi (Ecuador)
1749,3,Estratovolcán,True,True,Taal (Luzon-Philippines)
1848,2,Estratovolcán,False,False,Kelut (Java)
1861,3,Estratovolcán,False,True,Dubbi (Africa-NE)
1892,2,Caldera,True,False,Tofua (Tonga-SW Pacific)
1897,3,Estratovolcán,False,False,Mayon (Luzon-Philippines)
1902,,Estratovolcán,True,False,Pelee (W Indies)
1912,3,Volcán en escudo,False,False,Nyamuragira (Africa-C)
1919,1,Estratovolcán,False,False,Popocatepetl (Mexico)
1919,,volcán submarino,True,False,Banua Wuhu (Sangihe Is-Indonesia)
1923,2,Volcanes submarinos,True,True,"Cendres, Ile des (SE Asia)"
1929,2,Estratovolcán,False,False,Etna (Italy)
1939,2,Estratovolcán,False,False,Tori-shima (Izu Is-Japan)
1940,2,Estratovolcán,False,False,Karangetang [Api Siau] (Sangihe Is-Indonesia)
1947,2,Volcán complejo,False,False,Asama (Honshu-Japan)
1957,2,Estratovolcán,False,False,Oshima (Izu Is-Japan)
1979,2,Caldera,False,False,Aso (Kyushu-Japan)
1980,,Estratovolcán,False,False,Hood (US-Oregon)
1989,,Volcán en escudo,False,False,Kirishima (Kyushu-Japan)
1994,1,Caldera,False,False,Aso (Kyushu-Japan)
2001,3,Estratovolcán,False,False,Etna (Italy)
2011,2,Estratovolcán,False,False,Bulusan (Luzon-Philippines)
2014,,Estratovolcán,False,False,Kelut (Java)
-1370,6,Caldera,False,False,Pago (New Britain-SW Pac)
710,6,Caldera,False,False,Pago (New Britain-SW Pac)
1853,3,Estratovolcán,False,False,Mayon (Luzon-Philippines)
1872,4,Estratovolcán,False,False,Merapi (Java)
1878,3,Estratovolcán,True,False,Yasur (Vanuatu-SW Pacific)
1905,2,Volcán en escudo,True,False,Savai'i (Samoa-SW Pacific)
1918,4,Volcán subglacial,False,False,Katla (Iceland-S)
1944,2,Estratovolcán,True,False,Stromboli (Italy)
1952,2,volcán submarino,True,False,Myojun Knoll (Izu Is-Japan)
1955,4,Cono piroclástico,False,False,Carran-Los Venados (Chile-C)
1961,3,Estratovolcán,False,False,Merapi (Java)
1975,3,Estratovolcán,False,False,Arenal (Costa Rica)
1980,3,Estratovolcán,False,False,Hekla (Iceland-S)
1981,2,Estratovolcán,False,False,Paluweh (Lesser Sunda Is)
1988,,Volcán complejo,False,False,Akita-Yake-yama (Honshu-Japan)
1991,2,Volcán en escudo,False,False,Karthala (Indian O-W)
1994,3,Estratovolcán,False,False,Merapi (Java)
1995,1,Estratovolcán,False,False,Yake-dake (Honshu-Japan)
2002,,Estratovolcán,True,False,Stromboli (Italy)
2003,3,Estratovolcán,True,False,Soufriere Hills (W Indies)
2010,3,Estratovolcán,False,False,Tungurahua (Ecuador)
2018,2,Estratovolcán,False,False,Fuego (Guatemala)
-1050,6,Estratovolcán,False,False,Pinatubo (Luzon-Philippines)
764,4,Estratovolcán,False,False,Sakura-jima (Kyushu-Japan)
766,3,Estratovolcán,True,True,Sakura-jima (Kyushu-Japan)
1760,4,Estratovolcán,False,False,Makian (Halmahera-Indonesia)
1766,4,Estratovolcán,False,False,Hekla (Iceland-S)
1790,4,Volcán en escudo,False,False,Kilauea (Hawaiian Is)
1803,2,Volcán complejo,False,False,Asama (Honshu-Japan)
1813,2,Volcán complejo,True,False,Vesuvius (Italy)
1825,3,Estratovolcán,False,False,Shishaldin (Aleutian Is)
1869,2,Estratovolcán,False,False,Lamongan (Java)
1883,,Caldera,True,False,Krakatau (Indonesia)
1900,2,Volcán complejo,False,False,Asama (Honshu-Japan)
1914,,Estratovolcán,False,False,White Island (New Zealand)
1928,3,Estratovolcán,True,False,Paluweh (Lesser Sunda Is)
1952,2,volcán submarino,True,False,Myojun Knoll (Izu Is-Japan)
1953,0,Volcán complejo,False,False,Sirung (Lesser Sunda Is)
1963,2,Estratovolcán,False,False,Villarrica (Chile-C)
1976,2,Estratovolcán,False,False,Merapi (Java)
1977,3,Estratovolcán,False,False,Usu (Hokkaido-Japan)
1980,5,Estratovolcán,True,True,St. Helens (US-Washington)
1981,,Estratovolcán,False,False,Vilyuchik (Kamchatka)
1985,3,Estratovolcán,False,False,Ruiz (Colombia)
1990,3,Estratovolcán,False,False,Shiveluch (Kamchatka)
1990,3,Estratovolcán,False,False,Santa Maria (Guatemala)
1995,3,Estratovolcán,False,False,Yasur (Vanuatu-SW Pacific)
2006,1,Estratovolcán,False,False,Merapi (Java)
2010,2,Estratovolcán,False,False,Eyjafjallajokull (Iceland-S)
2010,3,Estratovolcán,False,False,Tungurahua (Ecuador)
2011,,Volcán subglacial,False,False,Katla (Iceland-S)
2015,,Estratovolcán,False,False,Sinabung (Sumatra)
2018,2,Escudo piroclástico,False,True,Ambrym (Vanuatu-SW Pacific)
2019,4,Estratovolcán,False,False,Manam (New Guinea-NE of)
-3550,6,Estratovolcán,False,False,Pinatubo (Luzon-Philippines)
1050,,Volcán en escudo,True,False,Santorini (Greece)
1177,3,Volcán subglacial,False,False,Katla (Iceland-S)
1595,4,Estratovolcán,False,False,Ruiz (Colombia)
1598,3,Caldera,False,False,Banda Api (Banda Sea)
1638,4,Estratovolcán,False,False,Raung (Java)
1659,3,Estratovolcán,False,True,San Salvador (El Salvador)
1684,2,Caldera,False,False,Grimsvotn (Iceland-NE)
1693,4,Estratovolcán,True,False,Hekla (Iceland-S)
1694,3,Caldera,False,False,Banda Api (Banda Sea)
1794,3,Volcán complejo,False,False,Vesuvius (Italy)
1800,1,Respiradero de fisura,False,False,San Jorge (Azores)
1816,2,Caldera,False,False,Aso (Kyushu-Japan)
1817,2,Estratovolcán,False,False,Ijen (Java)
1825,,Estratovolcán,False,False,Balbi (Bougainville-SW Paci)
1846,1,Estratovolcán,False,False,E-san (Hokkaido-Japan)
1875,,Estratovolcán,False,False,Mayon (Luzon-Philippines)
1889,2,volcán submarino,True,True,Banua Wuhu (Sangihe Is-Indonesia)
1912,6,Caldera,False,False,Novarupta (Alaska Peninsula)
1953,,Volcán complejo,False,False,Hakone (Honshu-Japan)
1961,,Estratovolcán,False,False,Daisetsu (Hokkaido-Japan)
1964,1,Volcán complejo,False,False,Dieng Volc Complex (Java)
1965,0,volcán submarino,True,False,Kick-'em-Jenny (W Indies)
1971,2,Estratovolcán,True,False,Tinakula (Santa Cruz Is-SW Pac)
1976,2,Estratovolcán,False,False,Semeru (Java)
1976,2,Estratovolcán,False,False,Karangetang [Api Siau] (Sangihe Is-Indonesia)
1978,3,Estratovolcán,False,False,Santa Maria (Guatemala)
1983,2,Estratovolcán,False,False,Kliuchevskoi (Kamchatka)
1986,3,Estratovolcán,False,False,Oshima (Izu Is-Japan)
1992,2,Estratovolcán,False,False,Karangetang [Api Siau] (Sangihe Is-Indonesia)
2002,3,Estratovolcán,False,False,Karangetang [Api Siau] (Sangihe Is-Indonesia)
2013,3,Estratovolcán,False,False,Paluweh (Lesser Sunda Is)
2013,2,Estratovolcán,False,False,Sinabung (Sumatra)
2017,2,Estratovolcán,False,False,Sinabung (Sumatra)
2018,1,Caldera,True,False,Krakatau (Indonesia)
2019,,Estratovolcán,False,False,Ulawun (New Britain-SW Pac)
450,6,Caldera,False,False,Ilopango (El Salvador)
1565,3,Volcán complejo,False,True,Pacaya (Guatemala)
1716,3,Volcán en escudo,False,False,Kirishima (Kyushu-Japan)
1721,1,Volcán complejo,False,False,Asama (Honshu-Japan)
1762,2,Estratovolcán,False,False,Kliuchevskoi (Kamchatka)
1784,,Estratovolcán,False,False,Sabancaya (Peru)
1786,2,Volcán complejo,False,False,Dieng Volc Complex (Java)
1800,,Volcán complejo,False,False,Guntur (Java)
1800,0,Volcán en escudo,False,False,Hualalai (Hawaiian Is)
1839,2,volcán submarino,True,False,Unnamed (Chile-Is)
1861,2,Caldera,False,False,Grimsvotn (Iceland-NE)
1878,3,Escudo piroclástico,True,True,Rabaul (New Britain-SW Pac)
1901,3,Estratovolcán,False,False,Kelut (Java)
1911,3,Estratovolcán,True,True,Taal (Luzon-Philippines)
1917,3,Estratovolcán,False,False,"Lengai, Ol Doinyo (Africa-E)"
1921,,Estratovolcán,False,False,Nasu (Honshu-Japan)
1933,,Volcán complejo,False,False,Hakone (Honshu-Japan)
1941,2,Estratovolcán,False,False,Semeru (Java)
1944,2,Estratovolcán,False,False,Usu (Hokkaido-Japan)
1947,4,Estratovolcán,False,False,Hekla (Iceland-S)
1976,,Estratovolcán,False,False,Kusatsu-Shirane (Honshu-Japan)
1979,2,Estratovolcán,False,False,Etna (Italy)
1982,4,Estratovolcán,False,False,Galunggung (Java)
1988,3,Estratovolcán,False,False,Arenal (Costa Rica)
2005,,Volcán en escudo,False,False,Karthala (Indian O-W)
2010,,Estratovolcán,False,False,Tengger Caldera (Java)
200,,Campo volcánico,False,False,"Arhab, Harra of (Arabia-S)"
640,2,Campo volcánico,False,False,"Uwayrid, Harrat (Arabia-W)"
1169,,Estratovolcán,True,False,Etna (Italy)
1600,6,Estratovolcán,False,True,Huaynaputina (Peru)
1629,2,Caldera,False,False,Grimsvotn (Iceland-NE)
1717,3,Estratovolcán,False,False,Bardarbunga (Iceland-NE)
1778,4,Estratovolcán,False,False,Raikoke (Kuril Is)
1789,2,Estratovolcán,False,False,Oshima (Izu Is-Japan)
1805,2,Volcán complejo,False,False,Vesuvius (Italy)
1829,2,Volcán complejo,False,False,Guntur (Java)
1837,,Volcán complejo,True,True,Peuet Sague (Sumatra)
1853,2,volcán submarino,True,False,Unnamed (Taiwan-E of)
1854,2,Caldera,False,False,Aso (Kyushu-Japan)
1860,2,Estratovolcán,False,False,Semeru (Java)
1871,2,Estratovolcán,True,True,Camiguin (Mindanao-Philippines)
1875,5,Estratovolcán,False,False,Askja (Iceland-NE)
1886,4,Estratovolcán,False,False,Tungurahua (Ecuador)
1886,2,Domo de lava,False,False,Okataina (New Zealand)
1893,4,Estratovolcán,False,False,Calbuco (Chile-S)
1951,3,Estratovolcán,False,False,Camiguin (Mindanao-Philippines)
1953,2,volcán submarino,True,False,Myojun Knoll (Izu Is-Japan)
1957,,Volcán complejo,False,False,Unzen (Kyushu-Japan)
1981,3,Estratovolcán,False,False,Semeru (Java)
1993,,Estratovolcán,False,False,Wurlali (Banda Sea)
1993,1,Estratovolcán,False,False,Pinatubo (Luzon-Philippines)
1996,2,Estratovolcán,False,False,Kanlaon (Philippines-C)
2013,,Estratovolcán,False,False,Mayon (Luzon-Philippines)
2017,,Estratovolcán,False,False,Etna (Italy)
2017,,Volcán complejo,False,False,Dieng Volc Complex (Java)
-141,,Estratovolcán,False,False,Etna (Italy)
1262,3,Volcán subglacial,False,False,Katla (Iceland-S)
1300,4,Estratovolcán,False,False,Hekla (Iceland-S)
1331,2,Caldera,False,False,Aso (Kyushu-Japan)
1714,,Volcán complejo,True,False,Vesuvius (Italy)
1907,,Volcán en escudo,True,False,Savai'i (Samoa-SW Pacific)
1911,2,Volcán complejo,False,False,Asama (Honshu-Japan)
1913,4,Estratovolcán,False,False,Colima (Mexico)
1944,3,Estratovolcán,False,False,Cleveland (Aleutian Is)
1952,2,volcán submarino,True,False,Myojun Knoll (Izu Is-Japan)
1960,3,Estratovolcán,True,True,Puyehue (Chile-C)
1971,2,Estratovolcán,False,False,La Palma (Canary Is)
1972,1,Estratovolcán,True,False,Ritter Island (New Guinea-NE of)
1979,3,Estratovolcán,False,False,Soufriere St. Vincent (W Indies)
1983,3,Estratovolcán,False,True,Miyake-jima (Izu Is-Japan)
1984,3,Estratovolcán,False,False,Etna (Italy)
1990,2,Caldera,False,False,Aso (Kyushu-Japan)
1991,2,Estratovolcán,False,False,Etna (Italy)
1994,3,Estratovolcán,False,False,Semeru (Java)
2007,,Estratovolcán,False,False,Salak (Java)
2017,2,Estratovolcán,False,False,Fuego (Guatemala)
2017,,Volcán en escudo,False,False,Aoba (Vanuatu-SW Pacific)
2018,3,Volcán en escudo,False,False,Aoba (Vanuatu-SW Pacific)
2019,2,Estratovolcán,True,False,Stromboli (Italy)
-1550,,Estratovolcán,False,False,Redoubt (Alaska-SW)
-250,6,Estratovolcán,False,False,Raoul Island (Kermadec Is)
1640,5,Estratovolcán,True,True,Komaga-take (Hokkaido-Japan)
1785,3,Estratovolcán,False,False,Aoga-shima (Izu Is-Japan)
1812,3,Estratovolcán,False,False,Awu (Sangihe Is-Indonesia)
1853,0,Volcán en escudo,False,False,Niuafo'ou (Tonga-SW Pacific)
1892,2,Estratovolcán,False,False,Sorikmarapi (Sumatra)
1917,3,Estratovolcán,False,False,Calbuco (Chile-S)
1938,1,Volcán complejo,False,False,Asama (Honshu-Japan)
1941,2,Volcán complejo,False,False,Asama (Honshu-Japan)
1943,4,Cono de ceniza,False,False,Michoacan-Guanajuato (Mexico)
1944,2,Volcán complejo,False,False,Dieng Volc Complex (Java)
1953,1,Estratovolcán,False,False,Oshima (Izu Is-Japan)
1973,,Estratovolcán,False,False,"Hudson, Cerro (Chile-S)"
1990,2,Caldera,False,False,Aso (Kyushu-Japan)
1991,6,Estratovolcán,False,True,Pinatubo (Luzon-Philippines)
1992,1,Estratovolcán,False,False,Pinatubo (Luzon-Philippines)
1995,2,Estratovolcán,False,False,Fogo (Cape Verde Is)
1996,3,Estratovolcán,False,False,Manam (New Guinea-NE of)
2000,,Volcán en escudo,False,False,Kilauea (Hawaiian Is)
2005,3,Estratovolcán,False,False,Santa Ana (El Salvador)
2006,2,Estratovolcán,True,False,Soufriere Hills (W Indies)
2015,,Estratovolcán,False,False,Calbuco (Chile-S)
2017,,Caldera,False,False,Campi Flegrei (Italy)
2018,,Estratovolcán,False,False,Kadovar (New Guinea-NE of)
2018,,Estratovolcán,False,False,Ijen (Java)
-4350,7,Caldera,False,False,Kikai (Ryukyu Is)
934,4,Volcán subglacial,False,False,Katla (Iceland-S)
1250,,Estratovolcán,False,False,Fentale (Africa-NE)
1389,3,Estratovolcán,False,False,Hekla (Iceland-S)
1471,5,Estratovolcán,False,False,Sakura-jima (Kyushu-Japan)
1500,4,Volcán subglacial,False,False,Katla (Iceland-S)
1590,3,Estratovolcán,False,False,Colima (Mexico)
1596,2,Volcán complejo,False,False,Asama (Honshu-Japan)
1606,2,Estratovolcán,True,False,Hachijo-jima (Izu Is-Japan)
1712,2,Estratovolcán,False,False,Bardarbunga (Iceland-NE)
1716,2,Estratovolcán,False,False,Bardarbunga (Iceland-NE)
1737,2,Volcán complejo,False,False,Vesuvius (Italy)
1779,4,Estratovolcán,False,False,Sakura-jima (Kyushu-Japan)
1783,4,Volcán complejo,False,False,Asama (Honshu-Japan)
1822,3,Estratovolcán,False,False,Merapi (Java)
1840,3,Estratovolcán,False,False,Tinakula (Santa Cruz Is-SW Pac)
1845,2,Estratovolcán,True,True,Soputan (Sulawesi-Indonesia)
1847,2,Estratovolcán,False,False,Fogo (Cape Verde Is)
1856,3,Estratovolcán,True,True,Awu (Sangihe Is-Indonesia)
1861,4,Estratovolcán,False,False,Makian (Halmahera-Indonesia)
1903,1,Domo de lava,False,False,Okataina (New Zealand)
1951,,Volcán complejo,False,False,Hakone (Honshu-Japan)
1954,2,Estratovolcán,False,False,Bam (New Guinea-NE of)
1958,,Estratovolcán,False,False,Daisetsu (Hokkaido-Japan)
1962,2,Estratovolcán,False,False,Gamalama (Halmahera-Indonesia)
1969,2,Estratovolcán,False,False,Merapi (Java)
1973,3,Estratovolcán,False,False,Paluweh (Lesser Sunda Is)
1974,3,Estratovolcán,False,False,Sakura-jima (Kyushu-Japan)
1978,,Estratovolcán,False,False,Tangkubanparahu (Java)
1983,4,Estratovolcán,False,False,Colo [Una Una] (Sulawesi-Indonesia)
1987,2,Estratovolcán,False,False,Etna (Italy)
1994,3,Estratovolcán,False,False,Rinjani (Lesser Sunda Is)
1996,3,Caldera,False,False,Grimsvotn (Iceland-NE)
1997,3,Estratovolcán,False,False,Soufriere Hills (W Indies)
1999,3,Estratovolcán,False,False,Guagua Pichincha (Ecuador)
2001,2,Estratovolcán,False,False,Merapi (Java)
2002,1,Estratovolcán,False,False,Nyiragongo (Africa-C)
2011,,Estratovolcán,False,False,Karangetang [Api Siau] (Sangihe Is-Indonesia)
2012,,Volcán en escudo,False,False,Kilauea (Hawaiian Is)
2012,,Volcán en escudo,False,False,Kilauea (Hawaiian Is)
1631,,Volcán en escudo,False,True,Dama Ali (Africa-NE)
1659,4,Estratovolcán,True,False,Teon (Banda Sea)
1664,,Volcán complejo,True,False,Iwo-Tori-shima (Ryukyu Is)
1707,,Volcán en escudo,True,False,Santorini (Greece)
1729,2,Caldera,False,False,Krafla (Iceland-NE)
1780,4,Estratovolcán,False,False,Sakura-jima (Kyushu-Japan)
1835,,Caldera,False,True,Banda Api (Banda Sea)
1843,,Estratovolcán,True,False,Soufriere Guadeloupe (W Indies)
1854,5,Estratovolcán,False,False,Shiveluch (Kamchatka)
1856,,Estratovolcán,True,False,Shishaldin (Aleutian Is)
1860,2,Estratovolcán,False,False,Fuego (Guatemala)
1868,,Estratovolcán,True,True,Etna (Italy)
1872,4,Estratovolcán,False,False,Merapi (Java)
1875,0,Estratovolcán,False,False,Kelut (Java)
1878,,Estratovolcán,True,True,Yasur (Vanuatu-SW Pacific)
1909,2,Estratovolcán,False,True,"Cameroon, Mt. (Africa-W)"
1914,3,Caldera,False,False,Pago (New Britain-SW Pac)
1917,1,Domo de lava,False,False,Okataina (New Zealand)
1930,2,Caldera,True,False,Krakatau (Indonesia)
1930,3,Estratovolcán,True,False,Stromboli (Italy)
1934,,Estratovolcán,False,False,Hood (US-Oregon)
1946,4,Estratovolcán,True,False,Sarychev Peak (Kuril Is)
1954,,Estratovolcán,True,False,Stromboli (Italy)
1955,3,Estratovolcán,False,False,Sakura-jima (Kyushu-Japan)
1962,,Estratovolcán,False,False,Merapi (Java)
1990,4,Estratovolcán,False,False,Kelut (Java)
1993,1,Volcán complejo,False,False,Unzen (Kyushu-Japan)
2010,3,Estratovolcán,False,False,Karangetang [Api Siau] (Sangihe Is-Indonesia)
2014,,Volcán en escudo,False,False,Kilauea (Hawaiian Is)
2016,,Estratovolcán,False,False,Sinabung (Sumatra)
2019,4,Estratovolcán,False,False,Manam (New Guinea-NE of)
2019,,Estratovolcán,False,False,Sinabung (Sumatra)
